"film_title","languages","colour","format","producer","cert_no","cert_date","endorsement","rule_applied","original_length_m","length_deleted_m","final_length_m","deletions","reductions","insertions","replacements","gazette_identifier","gazette_date","source_url"
"Alibaba And Forty Thieves","Hindi","Partly Coloured","","Basant Pictures, Zaveri Bldg., 130, Chamarbagh Road, Bombay-12.","10452","10-3-64","U","","","","","[Reel I] From the first dance sequence all inserts of the old man with flowing white beard lustfully watching the performance and their remarks in respect of the dancer retaining one insert referring to Marjina (11.28 m) || [Reel IX] Shot allowing a dacoit wiping off blood from the sword after having thrust it into Kawim's body (1.52 m)","[Reel II] To one loud whipping of Marjina by her Khan (1.22 m) (retained: 3.05 m) || [Reel IX] To a flash each of the scenes of Kasim's head lying severed from his body laid in the hide-out of the dacoits and again, in Ali Baba’s house (1.22 m) (retained: 0.91 m) || [Reel X] Pictureisation of the tailor singing while stitching the corpse, eliminating all inserts of the corpse excepting one each at the beginning and at the end of the sequence (22.25 m) (retained: 67.36 m) || [Reel XII] Torture scene of the tailor (8.23 m) (retained: 3.96 m)","","[Reel III] Abbu’s words “Taqat keliye” as spoken in the presence of the ladies while asking for the Basra chicken (sound — replaced with “Khane ke liye”) (0.3 m) || [Reel III] “ Have” as referred to by Marjina- (Sound-replaced with ‘bakhti’) (0.37 m) || [Reel F] Abbu’s words “Tum meri pyoa bujba dona"" as spoken to Sitara during their romance at the well (1.22 m) || [Reel F] Abba's words “Ghusle-lagavat (Sound-replaced with “Gual-o-thakawat ) (0.61 m) || [Reel VI] All close and mid-close shots focusing the dancer's bust in the dance-song “Ankh mili hal pyar hoga” (24.08 m) || [Reel VII] Word “Ismet"" as referred to by Marjina while heaping accusations on Ali Baba in the presence of Khasim and others. (Sound replaced with *hi*mat') (4.57 m) || [Reel XI] All inserts of the old tailor looking lustfully at the dancers during the dance song “Lab-eduli no” and his remarks, “Budho bhl hon jawan” etc., and again “Agar yeli daulat raujhe jawani mon milti, to aaj is daulat ko snath jawani ko bhi lutu deta” (All closeups replaced with approved shots and dialogues) (11.58 m) || [Reel XIII & XIV] Pictureisation of Abbu’s backward and forward movements including close view of Sitara’s bust under the preceding line “Babul badi door hai” (36.88 m) || [Reel XL] From the last dance sequence of Marjina, mid-close view of her bust preceding her song ""Sharma ko la] a ko"" and her three close-shots focusing her bust as she comes along dancing toward Abbu Hussain (4.88 m)","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Monsoon","English","Color","","The Film Group Inc., India.","98","13-3-54","A","","","","","The long sequence of caressing and kissing showing Jeanette and Burton except the minimum footage required for continuity. (30.48 m)","","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"The Joe Louis Story","English","","","Stirling Silliphant U.S.A.","10473","8-3-154","U","","","","","[Reel III] Shot of Vicky exposing bare thighs and underwear while flourishing her gown in the course of her dance at Hyde Park and, later, at the night club; also, shots of the dancer in silk-gown exposing bare legs (12.5 m)","","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Abbott & Costello Meet Dr. Jekyll & Mr. Hyde","English","","","Universal International Films Inc., U.S.A.","10475","8-3-54","U","","","","","[Reel III] Shots of Vicky exposing bare thighs and underwear while flourishing her gown in the course of her dance at Hyde Park and, later, at the night club; also, shots of the dancer in silk-gown exposing bare legs (12.5 m)","","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Trailer of ""Abbott & Costello Meet Dr. Jekyll & Mr. Hyde.""","English","","","Universal International Films Inc., U.S.A.","10488","11-3-64","U","","","","","Shot of Vicky exposing bare thighs (0.46 m)","","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Trailer of ""Tootc Khilone""","Hindi","","","Fragati Pictures, Krishna Cinema, 2nd Floor, Bombay-4.","10490","12-3-54","U","","","","","","The slapping of the child (picture and sound both) (1.34 m) (retained: 1.22 m)","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"The Glass Web","English","","","Universal International Films Inc., U.S.A.","97","11-3-54","A","","","","","Shots of Vicky exposing bare thighs (0.46 m)","","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Nirupedalu","Telugu","","","M/s. Gokul Pictures, 10/1, Mannar Reddi St., Madras-17.","8176-U","1-3-54","U","","","","","[Reel No. 2] In song No. 2, (a) line 4 of verse 1, 'Golukonda killakada golumalu Hondorori Ntoam bulloda'; (b) In verse 4, the lines, 'KondaJa Sivaji geriH* yudhanp' occurring twice, (c) the insert pictures of the traffic sign, 'Keep Left', and (d) the insert pictures of the head, constable and the policeman enjoying the song; and (e) the entire picture and sound of the policemen checking the licences, lights, etc., of the rickshaw-pullers and their abandoning the check-up and going after the girl, Bulbul. Entire song and sequence including portions cut as above, deleted by applicant (127.71 m) || [Reel No. 3] the insert picture of dogs and a child eating from a garbage pile and Narayana looking at them while washing his face in the ricksha stand (7.01 m) || [Reel No. 3] the picture and sound of the girl, Subul visiting Pkurmayya’s house, from the whistling which announces her coming upto and including Dharmayya following her into the house (18.89 m) || [Reel No. 3] the picture of the policemen in mufti being passed off on Nura; and as a fare, by other rickshaw pullers (20.73 m) || [Reel No. 8] the song No. 6, the words against the conly, “Kotikwarula rova kuatiko throva ” (3.05 m) || [Reel No. 10] the sound and picture of song No. 9, “Aolaraa” in entire V. including the brass band tune at the beginning (61.26 m) || [Reel No. 11] the picture of Narayana braking into Dharmuyya’s house at night, leaving only a suggestion at the beginning (9.14 m) || [Reel No. 12] Narayana, in police custody, saying, “what wo do is dongathnnom (theft) « what they do is dorathanam (3.96 m) || [Reel No. 12] the picture and sound with reference to the girl, Bulbul arriving at Dhurmayya’s house after Radrayya and Sannasi are separated by Dharmayya (7.01 m) || [Reel No. 13] Ramudu being beaten by Ranganna leaving only a suggestion at the beginning (0 m) || [Reel No. 14] picture and conversation between San nasi and Kamala after she is invited to Dharmayya's house, the arrival of the girl Bulbul, and the whispered conversation. (9.94 m) || [Reel No. 14] the picture and conversation of the girl Bulbul inviting Kamini to Dhormu's house. (32.92 m) || [Reel No. 14] the entire sequence, sound and picture relating to Kamala’s being taken to Rhannayya’s house leaving only the suggestion of the two girls entering the house at the beginning, upto and including the whistling and indecent gestures of Sennasi to the girl Bulbul (14.94 m)","","","[Reel No. 10] approved shots of rickshawmen starting, profession joining and arrival at home (31.39 m)","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Vaddante Dabbu","Telugu","","","M/s. Original Shanmugam Snuff Co., P.B. No. 140, Madras-1.","8170-U","16-2-64","U","","","","","[Reel No. 5] the picture of Rekha seated on the carving of the sacred bull, while singing (0 m) || [Reel No. 6] the picture and sound of Ram saving, 'Eh eh eh' to Shyam, gesturing towards Saroj after her departure (0 m) || [Reel No. 6] the picture of Shyam and Saroj drinking coffee from shared cups. (Picture of earlier use of cup by Shyam deleted) (0 m) || [Reel No. 10] the picture of Sulochana's gesturing leaving only her entry with the coffee (0 m) || [Reel No. 11] from the dialogue; the term, 'Athalto back portion' when Shyam and Ram are discussing their plans (0 m) || [Reel No. 16] from the scene showing doctors, (a) in the dialogue, the recital of the academic qualifications of the doctors (b) the sound and picture relating to lady doctor Parvatham. (0 m) || [Reel No. 15] the picture of the police officer and men standing to attention and saluting, when Shyam shouts, 'Shut up'. (0 m) || [Reel No. 15] the picture and sound of the duty nurse at the hospital asleep, and her being slapped with a towel by Ramu. (0 m)","[Reel No. 13] sound only of the fighting when Shyam and Ram are beaten up by the peons. (Sound only) (0 m) (retained: 0 m)","","[Reel No. 6] Picture of Saroj laughing, 2 ft.; Shyam putting coffee powder, 1.5 ft.; Close shot of cup: 1 ft.; and Close shot of Shyam putting coffee, 1 ft. (5.5 m) || [Reel No. 16] Mid-close shot of two doctors 2 ft. (0.61 m) || [Reel No. 15] a dozing ward-boy) (Replaced by : Close shot of boy sleeping on stool, 2 ft.; (2) Mid-close shot of Ram coming to boy and hitting with towel ; 10 ft.; (3) Close shot of boy stooping, 14 ft.) (7.32 m)","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Panam Paduthum Padu","Tamil","","","M/s. Rohini Pictures, 113, Kodambakkam High Rd., Madras-6.","8179-U","4-3-54","U","","","","","[Reel No. 5] Delete the picture of Rekha seated on the carving of the sacred bull, while singing (0 m) || [Reel No. 6] Delete the picture and sound of Ram saving, 'Eh eh eh' to Shyam, gesturing towards Saroj after her departure (0 m) || [Reel No. 6] Delete the picture of Shyam and Saroj drinking coffee from shared cups. (Picture of earlier use of cup by Shyam deleted) (0 m) || [Reel No. 10] Delete the picture of Sulochana's gesturing leaving only her entry with the coffee (0 m) || [Reel No. 11] Delete from the dialogue; the term, 'Athalto back portion' when Shyam and Ram are discussing their plans (0 m) || [Reel No. 16] Delete from the scene showing doctors, (a) in the dialogue, the recital of the academic qualifications of the doctors (b) the sound and picture relating to lady doctor Parvatham. (0 m) || [Reel No. 15] Delete the picture of the police officer and men standing to attention and saluting, when Shyam shouts, 'Shut up'. (0 m) || [Reel No. 15] Delete the picture and sound of the duty nurse at the hospital asleep, and her being slapped with a towel by Ramu. (0 m)","[Reel No. 13] Reduce sound only of the fighting when Shyam and Ram are beaten up by the peons. (Sound only) (0 m) (retained: 0 m)","","[Reel No. 6] Picture of Saroj laughing, 2 ft.; Shyam putting coffee powder, 1.5 ft.; Close shot of cup: 1 ft.; and Close shot of Shyam putting coffee, 1 ft. (5.5 m) || [Reel No. 16] Mid-close shot of two doctors 2 ft. (0.61 m) || [Reel No. 15] a dozing ward-boy) (Replaced by : Close shot of boy sleeping on stool, 2 ft.; (2) Mid-close shot of Ram coming to boy and hitting with towel ; 10 ft.; (3) Close shot of boy stooping, 14 ft.) (7.32 m)","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Manohara","Tamil","","","M/s. Manohara Pictures, Greenways Road, Madras-28.","","","","","","","","[Reel No. 10] Narasimhan witnessing the fighting behind the window — deleted silent sequence (13.72 m)","","[Reel No. 2] Introduction of Keftarivannan as invisible man hammering the statue in the first scene and Before drama and after Santkekamillayong first introduction of Padinavathi (33.53 m) || [Reel No. A] Fighting scene after Vasanthasena sending Bavudhayan to kill Manohara (45.72 m) || [Reel No. 27] Dance with song after King Purushothaman is jailed (85.34 m) || [Reel No. 10] Exploding sound of Vasanthasena’s statue re-recorded after Konari varman drugs Vasanthasena to the cave (27.43 m)","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Anta Manavalle","Telugu","","","M/s. The Sarathi Films Ltd., No. 17, Burkit Rd., Madron-17.","","","","","","","","[Reel No. 1] Telugu Titles (95.4 m) || [Reel No. 11] Song “Odhura Manaki” and continuity scene (167.64 m)","","[Reel No. 1] Tamil Titles & Commentary (220.37 m) || [Reel No. 11] Tamil Commentary (91.44 m)","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Viduthalai","Tamil","","","M/s. New Era Productions, Vadapalani, Madras-20.","","","","","","","","[Reel No. 13] Portion of Periasamy’s mental conflict . Enquiry scene at Chelliah’s hut . Periasamy driving off Chelli . Prayers of Chelli Periasamy informed about Soravanam's I.F. (182.88 m) || [Reel No. 24] Doctor telling Periasamy his life is in danger. Judge interviewing Periasamy (152.4 m) || [Reel No. 25] Magistrate court scene. Portion of dialogue between Murugaii & Periasamy in Jail (121.92 m) || [Reel No. 25] Judge sentencing Chelliah (15.54 m) || [Reel No. 25] Search for the mining pad on which the confession written and connected scenes (124.97 m)","","[Reel No. 3] Ayyasami heightening Kalyani (26.82 m) || [Reel No. 12] Constable 504 finding Chelliah & Kalyani alone in the hut (27.43 m) || [Reel No. 13] Doctor examining Chelliah Periasamy coming and asking whether Chelliah will survive (15.24 m) || [Reel No. 24] Cook informing Periasamy Home harm has been done to somebody, (15.24 m) || [Reel No. 25] Chelliah recovering and telling truth to doctor, in hospital. (23.47 m) || [Reel No. 25] Judge sentencing Chelliah (24.08 m)","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Chakrapani","Telugu","","","M/s. Bhanini Pictures, Arcot Hoad, Saligramani, Madras 20.","8180-U","10-3-54","U","","","","","[Reel No. 9] the picture of the ticket collector at the Railway Rate, where Malathi enters the platform after paying him (1.52 m)","","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Anta Manavalle","Telugu","","","M/s. The Sarathi Films Ltd., No. 17, Burkit Rd., Madras-17.","","","","","","","","[Reel No. 1] Telugu Titles (95.4 m) || [Reel No. 11] Song “Odhura Manaki” and continuity scene (167.64 m)","","[Reel No. 1] Tamil Titles and Commentary (220.37 m) || [Reel No. 11] Tamil Commentary (91.44 m)","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Emjnn","Hindi","","","Asiatic Productions, 172, Vithalbhal Patel Road, Bombay-4","10480","","U","","","","","[I] Roopa's mother asking Panditji twice about his eye winking (8.84 m) || [IX] The words 'Jay Shankar Bholanath, Har Har Mahadev' by Panditji (1.52 m) || [III] The dialogue 'Mujhe to pasina aa raha hai' and 'Pasina aa raha hai', between Raj and Roopa (5.18 m) || [IV, V & VI] The sentences 'Nargis se poocho, Rajkapoor se poocho', 'Rajputon ka raj chala gaya, sirf poot reh gaya', 'Aajkal brahmanon ko kitna poochta hai', 'Ghar men jo jee man ho so karo, par yahan mujhe garam mat kero', 'Chakori ke bachchon' (24.38 m) || [VI] The astrologer's words 'Ishwar bhala kare' at the end of his conversation with the pickpocket Nikhatoo (0.91 m) || [VI & VII] The sequence in which Nikhatoo and the astrologer accost a young girl in the park and try to trap her in a marriage with the aid of the marriage mantras (74.07 m) || [VII, VIII & IX] The words 'Jo tan ko taron ko hila de', 'Main Police Inspector bhi loon', 'Aur das tajar lack men', 'Sanyasi-men alakh niranjan ne danka bajaya, grihastiyon men Alaknanda danka rahi hai' (6.71 m) || [VIII] Reference to Begum Para (0.91 m) || [IX] From the dance sequence in the house of Alaknanda, Alaknanda winking and her lifting her sari when facing the audience (1.52 m) || [X] Kamal sprinkling herself with spirit for committing suicide (0 m) || [X] The words 'To uski chandi ukhad dunga' (2.13 m) || [III & IV] The words 'Jai Sitamun' and 'Radheshyam' spoken by Panditji (2.44 m) || [XII] Trade-mark and duet song 'Ham Hunyia ke Azad Parinde' (243.84 m)","","","","in.gazette.1954.105","1954-04-10T00:00:00Z","https://archive.org/details/in.gazette.1954.105"
